Date,Open,High,Low,Close,Adj Close,Volume
2021-07-26,0.222,0.233,0.218,0.219,1871072,1871072
2021-07-27,0.219,0.22,0.207,0.21,1094231,1094231
2021-07-28,0.211,0.217,0.206,0.208,1096787,1096787
2021-07-29,0.209,0.214,0.206,0.21,780925,780925
2021-07-30,0.21,0.215,0.201,0.211,850906,850906
2021-07-31,0.211,0.217,0.206,0.215,899506,899506
2021-08-01,0.215,0.222,0.209,0.211,1355241,1355241
2021-08-02,0.211,0.213,0.205,0.21,791030,791030
2021-08-03,0.21,0.212,0.199,0.202,895101,895101
2021-08-04,0.202,0.217,0.197,0.214,1012624,1012624
2021-08-05,0.213,0.299,0.211,0.276,13629486,13629486
2021-08-06,0.276,0.281,0.247,0.261,6327729,6327729
2021-08-07,0.261,0.394,0.258,0.327,22928534,22928534
2021-08-08,0.327,0.407,0.293,0.294,23075637,23075637
2021-08-09,0.294,0.334,0.279,0.31,8457871,8457871
2021-08-10,0.309,0.343,0.288,0.323,9630885,9630885
2021-08-11,0.323,0.365,0.314,0.329,11107799,11107799
2021-08-12,0.328,0.349,0.298,0.309,5677511,5677511
2021-08-13,0.309,0.33,0.308,0.325,3899709,3899709
2021-08-14,0.326,0.35,0.309,0.324,6354394,6354394
2021-08-15,0.324,0.408,0.322,0.37,20809164,20809164
2021-08-16,0.37,0.394,0.342,0.346,8562530,8562530
2021-08-17,0.345,0.366,0.313,0.314,5141928,5141928
2021-08-18,0.314,0.321,0.295,0.306,4154930,4154930
2021-08-19,0.306,0.323,0.288,0.321,4529386,4529386
2021-08-20,0.321,0.337,0.31,0.335,4278922,4278922
2021-08-21,0.335,0.336,0.305,0.308,3523588,3523588
2021-08-22,0.308,0.331,0.306,0.315,3222312,3222312
2021-08-23,0.316,0.332,0.313,0.321,5762017,5762017
2021-08-24,0.322,0.322,0.286,0.294,4616887,4616887
2021-08-25,0.295,0.354,0.27,0.346,10566297,10566297
2021-08-26,0.346,0.376,0.3006,0.301,21319718,21319718
2021-08-27,0.3011,0.3444,0.2931,0.3404,8898376,8898376
2021-08-28,0.3404,0.3457,0.318,0.321,6421175,6421175
2021-08-29,0.321,0.3257,0.3065,0.3129,4995250,4995250
2021-08-30,0.313,0.3239,0.2921,0.2979,6480369,6480369
2021-08-31,0.2976,0.319,0.2898,0.2982,5756829,5756829
2021-09-01,0.2987,0.3068,0.286,0.305,3839367,3839367
2021-09-02,0.3054,0.3499,0.2977,0.3222,12264470,12264470
2021-09-03,0.3221,0.34,0.3073,0.324,10061560,10061560
2021-09-04,0.3243,0.3423,0.3,0.3247,7715585,7715585
2021-09-05,0.3247,0.3398,0.317,0.336,6346462,6346462
2021-09-06,0.3364,0.359,0.32,0.3489,14395600,14395600
2021-09-07,0.3487,0.399,0.2269,0.2783,24613926,24613926
2021-09-08,0.278,0.2807,0.2435,0.2745,6740486,6740486
2021-09-09,0.2745,0.3219,0.25,0.2933,9912483,9912483
2021-09-10,0.294,0.3119,0.2591,0.2677,5415563,5415563
2021-09-11,0.2679,0.2966,0.2634,0.2739,3771995,3771995
2021-09-12,0.2733,0.288,0.26,0.2691,3215686,3215686
2021-09-13,0.269,0.2719,0.2358,0.25,3486934,3486934
2021-09-14,0.25,0.2585,0.247,0.2572,2021524,2021524
2021-09-15,0.2569,0.2672,0.2526,0.2649,2776384,2776384
2021-09-16,0.2646,0.281,0.2581,0.2628,4348852,4348852
2021-09-17,0.2626,0.2968,0.2478,0.2622,7152219,7152219
